Name,Elevation,Latitude,Longitude,State
MONADNOCK MTN,3159,42.86083333,-72.10888889,NH
MT CARDIGAN,3155,43.64916667,-71.91472222,NH
MT HEDGEHOG,3140,43.94138889,-71.365,NH
MT KENT,3137,45.23138889,-71.095,NH
MT CRAWFORD,3119,44.13666667,-71.33305556,NH
BLUE RIDGE (N PK),3102,44.95583333,-71.24694444,NH
MT RANDOLPH (N PK),3097,44.39666667,-71.31694444,NH
MT TUCKER (W PK),3097,44.94972222,-71.16666667,NH
BALDHEAD MTN (S PK),3097,44.82222222,-71.36777778,NH
MT PISGAH,3081,44.99555556,-71.21305556,NH
LOON MTN (N PK),3065,44.03611111,-71.62166667,NH
BALD CAP,3065,44.44944444,-71.10305556,NH
MT HITCHCOCK (W PK),3064,44.07194444,-71.55333333,NH
WOLF CUB GORDON POND PEAK,3063,44.07166667,-71.74,NH
WHALEBACK MTN (S PK),3060,44.08,-71.60888889,NH
NORTH DOUBLEHEAD,3053,44.16777778,-71.13055556,NH
UNNAMED PK SHOAL POND,3051,44.14972222,-71.48138889,NH
MT DURBAN,3010,45.29527778,-71.10527778,NH
SPRUCE MTN (E PK),3010,44.72055556,-71.54888889,NH
BLUE RIDGE (N PK),3009,44.0625,-71.76666667,NH
MT PARKER,3004,44.12361111,-71.29916667,NH
MT ROSEBROOK,3004,44.24305556,-71.47166667,NH
