Rank,Name,Elevation,Prominence,Latitude,Longitude,State
57,ALLEN MTN,4347,660,44.07083333,-73.94,NY
58,MT OSCEOLA,4340,2040,44.00166667,-71.53638889,NH
59,MT FIELD,4340,1702,44.19611111,-71.43388889,NH
60,MT FLUME,4328,428,44.10861111,-71.62861111,NH
61,MT PIERCE,4310,250,44.22694444,-71.36611111,NH
62,TABLE TOP MTN (E PK),4304,285,44.14361111,-73.90777778,NY
63,KINSMAN MTN (N PK),4293,273,44.13333333,-71.73722222,NH
64,MT WILLEY,4285,305,44.18333333,-71.42166667,NH
65,BONDCLIFF,4265,205,44.14055556,-71.54111111,NH
66,ZEALAND RIDGE,4260,240,44.17972222,-71.52194444,NH
67,SUGARLOAF MTN,4250,3180,45.03166667,-70.31361111,ME
68,BIG SLIDE MTN,4249,1115,44.18222222,-73.87138889,NY
69,ESTHER MTN,4238,318,44.38694444,-73.89027778,NY
70,KILLINGTON PEAK,4235,3325,43.60444444,-72.82055556,VT
71,CROCKER MTN,4228,1218,45.04694444,-70.38333333,ME
72,UPPER WOLFJAW MTN,4202,282,44.14027778,-73.84583333,NY
73,SLIDE MTN,4190,3295,41.99916667,-74.38611111,NY
74,MT TRIPYRAMID (N PK),4180,1360,43.97305556,-71.44333333,NH
75,LOWER WOLFJAW MTN,4173,679,44.14805556,-73.83305556,NY
76,OLD SPECK MTN,4170,2720,44.57083333,-70.95416667,ME
77,MT CABOT,4170,2665,44.50583333,-71.41472222,NH
78,PHELPS MTN,4160,207,44.15694444,-73.92166667,NY
79,MT OSCEOLA (E PK),4156,336,44.00611111,-71.52111111,NH
80,NORTH BROTHER,4151,1256,45.95694444,-68.98583333,ME
81,STREET MTN,4150,1280,44.17944444,-74.0275,NY
82,SAWTEETH,4150,492,44.11444444,-73.85055556,NY
83,BIGELOW MTN (W PK),4145,2855,45.14666667,-70.28861111,ME
84,MT TRIPYRAMID (M PK),4140,280,43.96444444,-71.44055556,NH
85,SADDLEBACK MTN,4120,2446,44.93638889,-70.505,ME
86,CANNON MTN,4100,760,44.15666667,-71.69944444,NH
