Rank,Name,Elevation,Latitude,Longitude,State,Prominence
45,BIG SPENCER MTN,3210,45.77555556,-69.44361111,ME,1920
46,CAMELS HUMP,4090,44.31944444,-72.88666667,VT,1880
47,SADDLEBACK MTN,2998,45.509482,-69.135994,ME,1850
48,BELKNAP MTN,2382,43.518001,-71.369388,NH,1850
49,MT BLUE,3190,44.72805556,-70.3425,ME,1840
50,MOXIE MTN,2930,45.206782,-69.893914,ME,1820
51,ADAMS MTN,3214,44.04361111,-72.80916667,VT,1804
52,EAST KENNEBAGO MTN,3791,45.12166667,-70.6,ME,1801
53,BUNNEL MTN (BLUE MTN),3730,44.79138889,-71.47916667,NH,1800
54,BOLTON MTN,3690,44.44916667,-72.84027778,VT,1800
55,JACKSON MTN,3568,44.76222222,-70.52055556,ME,1798
56,LITTLE SPENCER MTN,3070,45.75833333,-69.53277778,ME,1780
57,BALD MTN,3310,44.76611111,-71.98888889,VT,1780
58,KEARSARGE NORTH,3268,44.10583333,-71.09444444,NH,1758
59,MT TECUMSEH,4003,43.96638889,-71.55694444,NH,1743
60,CROYDON PEAK,2756,43.4819,-72.2195,NH,1732
61,SPRUCE MTN,2416,44.4076,-70.5845,ME,1726
62,NORTH TURNER MTN,3325,45.9725,-68.84444444,ME,1715
63,LONG MTN (M PK),3661,44.6799,-71.3794,NH,1711
64,CHASE,2439,46.1086,-68.4779,ME,1709
65,MT FIELD,4340,44.19611111,-71.43388889,NH,1702
66,AZISCOHOS/LOW AZISCOHOS MTN,3190,44.91416667,-71.0025,ME,1640
67,UNNAMED (W RUTLAND),2110,43.623774,-73.085175,VT,1620
68,EVERETT,2613,42.102,-73.4325,MA,1619
69,BURKE MTN,3270,44.57055556,-71.89333333,VT,1600
70,JO-MARY MTN,2905,45.6178,-69.0619,ME,1595
71,MT TREMONT,3371,44.05333333,-71.3575,NH,1591
72,CHERRY MTN (MT MARTHA),3572,44.33083333,-71.49972222,NH,1574
73,SPOTTED MTN (M PK),3401,45.04111111,-70.71861111,ME,1571
74,BELVIDERE MTN,3356,44.77305556,-72.55138889,VT,1564
75,PIERMONT MTN,2717,43.9592,-71.9951,NH,1547
76,STERLING MTN (WHITE FACE MTN),3713,44.58222222,-72.74027778,VT,1543
77,WYMAN,2990,44.6814,-70.835,ME,1540
78,DEER MTN,3450,45.00472222,-70.92444444,ME,1540
79,BARREN,2650,45.4157,-69.3707,ME,1539
80,MONADNOCK MTN,3148,44.8975,-71.54527778,VT,1538
81,HERRICK,2726,43.5625,-73.099,VT,1536
82,CADILLAC,1528,44.351107,-68.226351,ME,1528
83,LARAWAY,2795,44.7259,-72.7119,VT,1527
84,RUMP MTN,3654,45.20361111,-71.06388889,ME,1524
85,SOUTH TWIN MTN,4902,44.1875,-71.55527778,NH,1522
86,STINSON,2900,43.8346,-71.779,NH,1520
87,MOOSELEUK,2449,46.4625,-68.9032,ME,1504
88,GRIFFIN,2154,44.7961,-70.0977,ME,1504
89,SPECKLED,2906,44.2909,-70.955,ME,1496
90,POPLAR,2703,45.0645,-70.1571,ME,1493
91,PLEASANT,2006,44.0268,-70.8222,ME,1491
92,CHATEAUGUAY PEAK,2836,43.678,-72.6721,VT,1486
93,CARR MTN,3453,43.88472222,-71.84388889,NH,1480
94,PERU PK,3435,43.29444444,-72.93805556,VT,1477
95,SUNAPEE,2726,43.3138,-72.0743,NH,1476
96,RAGGED,2286,43.4682,-71.8295,NH,1456
97,MOOSE,2312,43.7345,-72.1407,NH,1442
98,BEAR MTN,3220,44.02944444,-71.30222222,NH,1440
99,COW RIDGE,3645,45.19194444,-70.72944444,ME,1435
100,HERSEY,2001,43.5669,-71.6578,NH,1431
