Rank,Name,Elevation,Latitude,Longitude,State,Prominence
98,HUNTER MTN,4050,42.1775,-74.23083333,NY,
99,MT MORIAH,4049,44.34027778,-71.13222222,NH,
100,MT PASSACONAWAY,4043,43.95472222,-71.38111111,NH,
101,SADDLEBACK MTN THE HORN,4041,44.95111111,-70.4875,ME,
102,MT EMMONS,4039,44.14388889,-74.21472222,NY,
103,OWLS HEAD,4025,44.14416667,-71.60555556,NH,
104,GALEHEAD,4024,44.185,-71.57388889,NH,
105,MT WHITEFACE,4020,43.93666667,-71.40805556,NH,
106,DIAL MTN,4019,44.10583333,-73.79666667,NY,
107,SPAULDING MTN,4010,45.00277778,-70.33388889,ME,
108,MT REDINGTON,4010,45.025,-70.38916667,ME,
109,YARD MTN,4009,44.17444444,-73.88527778,NY,
110,MT WAUMBEK,4006,44.4325,-71.41777778,NH,
111,MT ABRAHAM,4006,44.12027778,-72.93666667,VT,
112,EAST DIX,4006,44.06527778,-73.75777778,NY,
113,MT ISOLATION,4004,44.21472222,-71.31,NH,
114,MT TECUMSEH,4003,43.96638889,-71.55694444,NH,
